spider (8.21 15:31:35 ): spider start.
spider (8.21 15:31:36 ): db create.
spider (8.21 15:36:03 ): 166852939, data insert.
spider (8.21 15:36:04 ): 166852921, data insert.
spider (8.21 15:36:05 ): 166853080, data insert.
spider (8.21 15:36:05 ): 166853451, data insert.
spider (8.21 15:36:06 ): 166853472, data insert.
spider (8.21 15:36:07 ): 166853062, data insert.
spider (8.21 15:36:07 ): 166853243, data insert.
spider (8.21 15:36:08 ): 166852795, data insert.
spider (8.21 15:36:09 ): 166852799, data insert.
spider (8.21 15:36:09 ): 166852926, data insert.
spider (8.21 15:36:10 ): 166852801, data insert.
spider (8.21 15:36:11 ): 166853327, data insert.
spider (8.21 15:36:11 ): 166852834, data insert.
spider (8.21 15:36:12 ): 166853366, data insert.
spider (8.21 15:36:13 ): 166852700, data insert.
spider (8.21 15:36:13 ): 166853478, data insert.
spider (8.21 15:36:14 ): 166853214, data insert.
spider (8.21 15:36:15 ): 166852821, data insert.
spider (8.21 15:36:15 ): 166853158, data insert.
spider (8.21 15:36:16 ): 166852178, data insert.
spider (8.21 15:36:17 ): 166852239, data insert.
spider (8.21 15:36:17 ): 166852626, data insert.
spider (8.21 15:36:18 ): 166852291, data insert.
spider (8.21 15:36:19 ): 166851904, data insert.
spider (8.21 15:36:19 ): 166851898, data insert.
spider (8.21 15:36:20 ): 166851884, data insert.
spider (8.21 15:36:21 ): 166852013, data insert.
spider (8.21 15:36:21 ): 166851990, data insert.
spider (8.21 15:36:22 ): 166852047, data insert.
spider (8.21 15:36:22 ): 166852042, data insert.
spider (8.21 15:36:23 ): 166852088, data insert.
spider (8.21 15:36:24 ): 166852343, data insert.
spider (8.21 15:36:24 ): 166852491, data insert.
spider (8.21 15:36:25 ): 166852100, data insert.
spider (8.21 15:36:26 ): 166852256, data insert.
spider (8.21 15:36:26 ): 166852275, data insert.
spider (8.21 15:36:27 ): 166852634, data insert.
spider (8.21 15:36:28 ): 166852553, data insert.
spider (8.21 15:36:28 ): 166852001, data insert.
spider (8.21 15:36:29 ): 166852688, data insert.
spider (8.21 15:36:30 ): 166852198, data insert.
spider (8.21 15:36:30 ): 166852407, data insert.
spider (8.21 15:36:31 ): 166852247, data insert.
spider (8.21 15:36:32 ): 166850999, data insert.
spider (8.21 15:36:32 ): 166851517, data insert.
spider (8.21 15:36:33 ): 166851788, data insert.
spider (8.21 15:36:34 ): 166851342, data insert.
spider (8.21 15:36:34 ): 166850968, data insert.
spider (8.21 15:36:35 ): 166850965, data insert.
spider (8.21 15:36:35 ): 166850893, data insert.
spider (8.21 15:36:36 ): 166851257, data insert.
spider (8.21 15:36:37 ): 166851351, data insert.
spider (8.21 15:36:37 ): 166850992, data insert.
spider (8.21 15:36:38 ): 166851510, data insert.
spider (8.21 15:36:39 ): 166851302, data insert.
spider (8.21 15:36:39 ): 166851183, data insert.
spider (8.21 15:36:40 ): 166851513, data insert.
spider (8.21 15:36:41 ): 166851620, data insert.
spider (8.21 15:36:41 ): 166851641, data insert.
spider (8.21 15:36:42 ): 166850908, data insert.
spider (8.21 15:36:43 ): 166851722, data insert.
spider (8.21 15:36:43 ): 166851615, data insert.
spider (8.21 15:36:44 ): 166851409, data insert.
spider (8.21 15:36:45 ): 166851071, data insert.
spider (8.21 15:36:45 ): 166851060, data insert.
spider (8.21 15:36:46 ): 166851340, data insert.
spider (8.21 15:36:46 ): 166850046, data insert.
spider (8.21 15:36:47 ): 166850100, data insert.
spider (8.21 15:36:48 ): 166850435, data insert.
spider (8.21 15:36:48 ): 166850858, data insert.
spider (8.21 15:36:49 ): 166850662, data insert.
spider (8.21 15:36:50 ): 166850773, data insert.
spider (8.21 15:36:50 ): 166850702, data insert.
spider (8.21 15:36:51 ): 166850549, data insert.
spider (8.21 15:36:51 ): 166850414, data insert.
spider (8.21 15:36:52 ): 166850133, data insert.
spider (8.21 15:36:52 ): 166850384, data insert.
spider (8.21 15:36:53 ): 166850527, data insert.
spider (8.21 15:36:54 ): 166850590, data insert.
spider (8.21 15:36:54 ): 166850307, data insert.
spider (8.21 15:36:55 ): 166850797, data insert.
spider (8.21 15:36:56 ): 166850306, data insert.
spider (8.21 15:36:56 ): 166850286, data insert.
spider (8.21 15:36:57 ): 166850770, data insert.
spider (8.21 15:36:58 ): 166850788, data insert.
spider (8.21 15:36:58 ): 166850836, data insert.
spider (8.21 15:36:59 ): 166850516, data insert.
spider (8.21 15:37:00 ): 166850048, data insert.
spider (8.21 15:37:00 ): 166850809, data insert.
spider (8.21 15:37:01 ): 166849904, data insert.
spider (8.21 15:37:01 ): 166849705, data insert.
spider (8.21 15:37:02 ): 166849005, data insert.
spider (8.21 15:37:03 ): 166849316, data insert.
spider (8.21 15:37:03 ): 166849662, data insert.
spider (8.21 15:37:04 ): 166849080, data insert.
spider (8.21 15:37:05 ): 166849056, data insert.
spider (8.21 15:37:05 ): 166849348, data insert.
spider (8.21 15:37:06 ): 166849114, data insert.
spider (8.21 15:37:06 ): 166849468, data insert.
spider (8.21 15:37:07 ): 166849552, data insert.
spider (8.21 15:37:08 ): 166849190, data insert.
spider (8.21 15:37:08 ): 166849258, data insert.
spider (8.21 15:37:09 ): 166849576, data insert.
spider (8.21 15:37:09 ): 166849471, data insert.
spider (8.21 15:37:10 ): 166849361, data insert.
spider (8.21 15:37:11 ): 166849760, data insert.
